,id,name,genre,year,gross_usa,gross_worldwide,imdb_users,no_of_ratings,aged_under_18,aged_18_29,aged_30_44,aged_45_plus,males,males_aged_under_18,males_aged_18_29,males_aged_30_44,males_aged_45_plus,females,females_aged_under_18,females_aged_18_29,females_aged_30_44,females_aged_45_plus,top_1000_voters,us_users,non_us_users,no_of_female_ratings,no_of_male_ratings,imdb_users_no_of_ratings,aged_under_18_no_of_ratings,aged_18_29_no_of_ratings,aged_30_44_no_of_ratings,aged_45_plus_no_of_ratings,males_no_of_ratings,males_aged_under_18_no_of_ratings,males_aged_18_29_no_of_ratings,males_aged_30_44_no_of_ratings,males_aged_45_plus_no_of_ratings,females_no_of_ratings,females_aged_under_18_no_of_ratings,females_aged_18_29_no_of_ratings,females_aged_30_44_no_of_ratings,females_aged_45_plus_no_of_ratings,top_1000_voters_no_of_ratings,us_users_no_of_ratings,non_us_users_no_of_ratings,male_rating_10,male_rating_9,male_rating_8,male_rating_7,male_rating_6,male_rating_5,male_rating_4,male_rating_3,male_rating_2,male_rating_1,female_rating_10,female_rating_9,female_rating_8,female_rating_7,female_rating_6,female_rating_5,female_rating_4,female_rating_3,female_rating_2,female_rating_1,gender_ratings
0,tt1469304,Baywatch,"Action,Comedy,Crime",2017,58060186,176928652,5.6,125120.0,6.5,5.7,5.4,5.4,5.5,6.3,5.6,5.4,5.3,5.8,7.1,5.9,5.6,5.8,4.8,5.5,5.5,17702.0,74398.0,125120.0,810.0,36424.0,38771.0,7730.0,74398.0,561.0,27767.0,32230.0,6269.0,17702.0,224.0,8170.0,6021.0,1347.0,405.0,14727.0,50857.0,3592.0,1568.0,4909.0,12667.0,19824.0,14773.0,7391.0,4246.0,2520.0,2908.0,1925.0,724.0,1600.0,3081.0,4040.0,2882.0,1527.0,833.0,487.0,603.0,92100.0
0,tt1478338,Bridesmaids,"Comedy,Romance",2011,169106725,288383523,6.8,245186.0,7.2,6.9,6.8,6.8,6.7,7.3,6.8,6.7,6.7,7.0,7.0,7.0,7.0,6.9,6.3,7.2,6.6,80550.0,127315.0,245186.0,135.0,74716.0,103406.0,22679.0,127315.0,79.0,38050.0,68289.0,15981.0,80550.0,51.0,35945.0,33922.0,6371.0,616.0,56946.0,110939.0,7919.0,9908.0,25388.0,36418.0,23626.0,10882.0,5277.0,2886.0,1894.0,3117.0,11307.0,10013.0,16040.0,17486.0,11440.0,6123.0,3178.0,1930.0,1339.0,1694.0,207865.0
0,tt1485796,The Greatest Showman,"Biography,Drama,Musical",2017,174340174,434950846,7.7,178718.0,8.1,7.7,7.5,7.6,7.5,7.7,7.5,7.4,7.5,8.0,8.6,8.0,7.9,8.1,6.5,7.6,7.5,42921.0,82833.0,178718.0,1108.0,50746.0,44965.0,14607.0,82833.0,586.0,30551.0,31089.0,10181.0,42921.0,460.0,19145.0,13066.0,4134.0,359.0,26276.0,59704.0,16103.0,13468.0,20915.0,16396.0,8227.0,3675.0,1654.0,955.0,538.0,902.0,15593.0,7328.0,8538.0,6076.0,2897.0,1222.0,529.0,275.0,182.0,281.0,125754.0
0,tt1486185,Red Riding Hood,"Fantasy,Horror,Mystery",2011,37662162,90300442,5.5,100906.0,6.4,5.7,5.2,5.4,5.2,5.7,5.4,5.1,5.3,5.9,6.9,6.1,5.6,5.7,4.9,5.3,5.4,35914.0,50499.0,100906.0,69.0,34257.0,40530.0,8992.0,50499.0,22.0,15051.0,26826.0,6804.0,35914.0,42.0,18818.0,13245.0,2068.0,493.0,15260.0,51995.0,2019.0,1064.0,3044.0,7076.0,11328.0,10769.0,6473.0,3771.0,2309.0,2646.0,3705.0,1987.0,3867.0,5952.0,7129.0,5867.0,3324.0,1865.0,1142.0,1076.0,86413.0
0,tt1488555,The Change-Up,"Comedy,Fantasy",2011,37081475,75828267,6.3,152369.0,6.3,6.5,6.3,6.2,6.4,6.2,6.6,6.3,6.1,6.2,6.3,6.3,6.1,6.2,5.8,6.2,6.3,31055.0,100950.0,152369.0,73.0,53860.0,64039.0,9580.0,100950.0,55.0,38626.0,50192.0,7682.0,31055.0,13.0,14675.0,13146.0,1743.0,445.0,23558.0,78588.0,5216.0,4568.0,13559.0,29396.0,27011.0,11914.0,4741.0,2073.0,1079.0,1393.0,2154.0,1629.0,3991.0,7241.0,7583.0,4322.0,1945.0,936.0,570.0,684.0,132005.0
0,tt1489889,Central Intelligence,"Action,Comedy,Crime",2016,127440871,217196811,6.3,131003.0,6.8,6.4,6.2,6.3,6.2,6.7,6.4,6.2,6.2,6.5,7.1,6.5,6.4,6.7,5.8,6.4,6.2,15999.0,80923.0,131003.0,410.0,38024.0,41094.0,9363.0,80923.0,316.0,30589.0,35026.0,7643.0,15999.0,82.0,6988.0,5567.0,1575.0,431.0,16449.0,52681.0,3225.0,2597.0,8943.0,22952.0,24612.0,11304.0,3967.0,1611.0,765.0,947.0,1387.0,1087.0,2325.0,4160.0,3852.0,1842.0,717.0,306.0,172.0,151.0,96922.0
0,tt1496025,Underworld Awakening,"Action,Fantasy,Horror",2012,62321039,160112671,6.4,136045.0,6.8,6.6,6.3,6.4,6.3,6.4,6.5,6.2,6.3,6.8,8.1,6.9,6.6,6.8,5.9,6.5,6.2,20721.0,96032.0,136045.0,41.0,37687.0,62327.0,12875.0,96032.0,27.0,29311.0,51911.0,10740.0,20721.0,12.0,7964.0,9711.0,1951.0,514.0,19606.0,69405.0,8070.0,4718.0,11916.0,24272.0,23783.0,12075.0,5537.0,2686.0,1375.0,1600.0,3334.0,1696.0,3205.0,4624.0,3805.0,2084.0,857.0,493.0,294.0,329.0,116753.0
0,tt1502712,Fantastic Four,"Action,Adventure,Drama",2015,56117548,167977596,4.3,136913.0,3.3,4.1,4.4,4.7,4.3,3.1,4.0,4.4,4.6,4.7,4.6,4.6,4.6,4.9,4.3,4.2,4.4,14282.0,90230.0,136913.0,296.0,40216.0,45761.0,11160.0,90230.0,252.0,33000.0,40016.0,9842.0,14282.0,40.0,6776.0,5159.0,1141.0,477.0,17770.0,54822.0,2513.0,703.0,2142.0,5954.0,12626.0,17302.0,15427.0,11143.0,8080.0,14340.0,621.0,250.0,614.0,1210.0,2146.0,2759.0,2346.0,1610.0,1247.0,1479.0,104512.0
0,tt1517260,The Host,"Action,Adventure,Drama",2013,26627201,63327201,5.9,103985.0,6.5,6.2,5.6,5.7,5.6,5.6,5.7,5.5,5.6,6.4,7.3,6.6,6.1,6.3,5.0,5.8,5.7,34894.0,49678.0,103985.0,88.0,34961.0,35154.0,9101.0,49678.0,34.0,15443.0,23984.0,7036.0,34894.0,53.0,19073.0,10654.0,1917.0,408.0,13407.0,46282.0,3437.0,2149.0,4852.0,8654.0,10520.0,7719.0,4445.0,2950.0,2031.0,2921.0,5302.0,2789.0,4942.0,6713.0,6243.0,3937.0,2089.0,1198.0,784.0,897.0,84572.0
0,tt1517451,A Star Is Born,"Drama,Music,Romance",2018,199721727,NaN,8.1,126128.0,8.6,8.2,7.9,7.9,8.0,8.6,8.2,7.9,7.8,8.3,8.8,8.3,8.1,8.3,6.8,8.2,7.9,28318.0,62283.0,126128.0,598.0,39934.0,32045.0,10226.0,62283.0,332.0,25811.0,22172.0,6798.0,28318.0,187.0,12519.0,8959.0,3103.0,192.0,18337.0,45093.0,15751.0,13890.0,15846.0,9205.0,3711.0,1388.0,619.0,355.0,288.0,1230.0,9941.0,6314.0,5900.0,3286.0,1388.0,598.0,228.0,191.0,114.0,358.0,90601.0
