tvshow_code,show_name,seasonNumber,averageRating,numVotes
tt0043224,The Red Skelton Hour,6,8.5,6.0
tt0043224,The Red Skelton Hour,7,7.633333333333333,5.666666666666667
tt0043224,The Red Skelton Hour,8,8.0,6.0
tt0043224,The Red Skelton Hour,9,7.9,5.5
tt0043224,The Red Skelton Hour,10,8.4,5.0
tt0043224,The Red Skelton Hour,11,8.1,10.333333333333334
tt0043224,The Red Skelton Hour,12,9.4,9.0
tt0043224,The Red Skelton Hour,13,9.2,5.0
tt0043225,The Roy Rogers Show,1,7.016666666666668,13.083333333333334
tt0043225,The Roy Rogers Show,2,7.485714285714286,13.785714285714286
tt0043225,The Roy Rogers Show,3,7.445454545454546,8.909090909090908
tt0043225,The Roy Rogers Show,4,7.305882352941176,9.470588235294118
tt0043225,The Roy Rogers Show,5,7.113333333333334,9.066666666666666
tt0043225,The Roy Rogers Show,6,7.514285714285713,9.857142857142858
tt0044229,The Abbott and Costello Show,1,8.330769230769231,24.53846153846154
tt0044229,The Abbott and Costello Show,2,8.438461538461539,17.46153846153846
tt0044230,The Adventures of Ozzie and Harriet,1,7.742424242424242,11.545454545454545
tt0044230,The Adventures of Ozzie and Harriet,2,7.8428571428571425,9.785714285714286
tt0044230,The Adventures of Ozzie and Harriet,3,7.9411764705882355,7.882352941176471
tt0044230,The Adventures of Ozzie and Harriet,4,7.49090909090909,8.363636363636363
tt0044230,The Adventures of Ozzie and Harriet,5,7.839130434782611,9.782608695652174
tt0044230,The Adventures of Ozzie and Harriet,6,7.609090909090907,9.727272727272727
tt0044230,The Adventures of Ozzie and Harriet,7,8.106250000000001,8.5
tt0044230,The Adventures of Ozzie and Harriet,8,7.95,8.428571428571429
tt0044230,The Adventures of Ozzie and Harriet,9,7.686363636363638,8.727272727272727
tt0044230,The Adventures of Ozzie and Harriet,10,7.459999999999999,10.4
tt0044230,The Adventures of Ozzie and Harriet,11,7.181818181818182,8.636363636363637
tt0044230,The Adventures of Ozzie and Harriet,12,7.949999999999999,8.5
tt0044230,The Adventures of Ozzie and Harriet,13,7.730000000000001,9.8
tt0044230,The Adventures of Ozzie and Harriet,14,7.670833333333333,8.541666666666666
tt0044231,Adventures of Superman,1,7.784615384615384,101.1923076923077
tt0044231,Adventures of Superman,2,8.119230769230768,74.5
tt0044231,Adventures of Superman,3,7.846153846153845,67.61538461538461
tt0044231,Adventures of Superman,4,8.038461538461538,59.69230769230769
tt0044231,Adventures of Superman,5,7.815384615384616,59.92307692307692
tt0044231,Adventures of Superman,6,8.115384615384617,63.76923076923077
tt0044259,Death Valley Days,1,8.161111111111113,18.61111111111111
tt0044259,Death Valley Days,2,8.305555555555555,18.833333333333332
tt0044259,Death Valley Days,3,8.483333333333333,14.88888888888889
tt0044259,Death Valley Days,4,8.652380952380954,12.619047619047619
tt0044259,Death Valley Days,5,8.364705882352942,13.0
tt0044259,Death Valley Days,6,8.408,13.32
tt0044259,Death Valley Days,7,8.442424242424243,9.424242424242424
tt0044259,Death Valley Days,8,8.876315789473686,8.68421052631579
tt0044259,Death Valley Days,9,8.860000000000003,7.333333333333333
tt0044259,Death Valley Days,10,8.849999999999998,6.538461538461538
tt0044259,Death Valley Days,11,8.6625,7.75
tt0044259,Death Valley Days,12,8.373076923076923,12.038461538461538
tt0044259,Death Valley Days,13,8.084615384615386,18.5
tt0044259,Death Valley Days,14,7.884615384615383,16.46153846153846
tt0044259,Death Valley Days,15,7.926923076923076,16.5
tt0044259,Death Valley Days,16,7.919230769230769,17.115384615384617
tt0044259,Death Valley Days,17,8.000000000000002,16.115384615384617
tt0044259,Death Valley Days,18,8.249999999999998,13.461538461538462
